"","text","favorite_count","retweet_count"
"1199","784561",15,1
"1200","784547",30,1
"1201","784543",21,2
"1202","784541",19,2
"1203","784513",21,1
"1204","784501",17,1
"1205","784489",22,1
"1206","784481",23,2
"1207","784471",15,1
"1208","784463",18,1
"1209","784457",15,2
"1210","784451",23,3
"1211","784447",22,3
"1212","784423",18,0
"1213","784411",13,0
"1214","784409",14,1
"1215","784387",22,1
"1216","784379",17,3
"1217","784373",18,0
"1218","784367",14,0
"1219","784351",19,1
"1220","784349",15,1
"1221","784327",15,0
"1222","784321",24,0
"1223","784313",14,0
"1224","784309",12,0
"1225","784307",14,2
"1226","784283",18,0
"1227","784249",17,2
"1228","784243",12,1
"1229","784229",26,1
"1230","784219",25,2
"1231","784213",20,1
"1232","784211",9,1
"1233","784183",18,2
"1234","784181",15,1
"1235","784171",19,2
"1236","784153",14,0
"1237","784129",24,2
"1238","784117",23,4
"1239","784109",18,0
"1240","784103",20,0
"1241","784097",22,1
"1242","784087",32,1
"1243","784081",25,0
"1244","784061",18,2
"1245","784039",21,0
"1246","784009",16,1
"1247","783953",16,0
"1248","783931",13,0
"1249","783877",13,0
"1250","783869",16,2
"1251","783829",17,3
"1252","783803",28,2
"1253","783799",23,0
"1254","783793",23,1
"1255","783791",18,0
"1256","783787",34,4
"1257","783781",36,3
"1258","783779",25,2
"1259","783767",19,4
"1260","783763",27,5
"1261","783749",16,0
"1262","783743",21,0
"1263","783737",35,5
"1264","783733",27,3
"1265","783721",17,1
"1266","783719",19,1
"1267","783707",12,0
"1268","783703",23,0
"1269","783701",15,0
"1270","783691",27,3
"1271","783689",18,0
"1272","783677",22,3
"1273","783661",23,1
"1274","783647",17,0
"1275","783641",14,0
"1276","783619",16,0
"1277","783613",23,2
"1278","783599",25,2
"1279","783571",19,1
"1280","783569",21,4
"1281","783557",16,1
"1282","783553",20,3
"1283","783533",17,4
"1284","783529",20,2
"1285","783527",14,1
"1286","783487",19,2
"1287","783473",20,1
"1288","783421",22,1
"1289","783413",19,0
"1290","783407",13,0
"1291","783379",20,1
"1292","783373",28,4
"1293","783361",22,4
"1294","783359",23,2
"1295","783337",39,4
"1296","783329",14,2
"1297","783323",25,3
"1298","783317",17,1
"1299","783283",12,0
"1300","783269",20,1
"1301","783259",15,0
"1302","783257",12,0
"1303","783247",15,0
"1304","783227",17,3
"1305","783197",14,0
"1306","783193",13,0
"1307","783191",22,1
"1308","783151",17,0
"1309","783149",26,2
"1310","783143",21,1
"1311","783137",15,1
"1312","783131",11,0
"1313","783121",27,1
"1314","783119",18,0
"1315","783089",23,0
"1316","783077",21,2
"1317","783043",18,1
"1318","783023",8,1
"1319","783019",16,0
"1320","783011",17,0
"1321","783007",38,4
"1322","782993",17,2
"1323","782983",22,1
"1324","782981",9,2
"1325","782963",23,1
"1326","782941",15,0
"1327","782921",13,0
"1328","782911",15,1
"1329","782891",13,0
"1330","782861",16,2
"1331","782849",18,1
"1332","782839",22,2
"1333","782791",13,1
"1334","782783",27,2
"1335","782777",32,3
"1336","782723",20,1
"1337","782711",17,0
"1338","782707",13,1
"1339","782689",16,0
